ZCTA_Zipcode,Place Type,count_of_Active_PlaceStatus
60643,Childcare and Schools,16
60643,Cook County Land Bank,4
60643,Dining,23
60643,"Financial, Insurance, Real Estate, Legal, and Professional",23
60643,Fitness,5
60643,Health Services,15
60643,Industrial,2
60643,Other,1
60643,Personal Service,23
60643,Public Services,3
60643,Religious (except school or residence),16
60643,Retail,22
60643,Service or Programmed Residential Space,4
60643,Social Services & Political Advocacy,11
60643,Trade Service,22
60643,Unknown,2
60643,"Wholesale, Storage and Transportation",4
60644,Arts and Entertainment,8
60644,Childcare and Schools,44
60644,Dining,52
60644,"Financial, Insurance, Real Estate, Legal, and Professional",24
60644,Fitness,3
60644,Health Services,21
60644,Industrial,16
60644,Other,3
60644,Personal Service,50
60644,Public Services,6
60644,Religious (except school or residence),78
60644,Retail,115
60644,Service or Programmed Residential Space,14
60644,Social Services & Political Advocacy,18
60644,Trade Service,62
60644,"Wholesale, Storage and Transportation",15
60645,Trade Service,1
60647,Arts and Entertainment,2
60647,Childcare and Schools,1
60647,Dining,14
60647,"Financial, Insurance, Real Estate, Legal, and Professional",12
60647,Fitness,1
60647,Health Services,10
60647,Other,1
60647,Personal Service,15
60647,Public Services,1
60647,Religious (except school or residence),7
60647,Retail,26
60647,Service or Programmed Residential Space,1
60647,Social Services & Political Advocacy,5
60647,Trade Service,6
60647,"Wholesale, Storage and Transportation",1
60649,Arts and Entertainment,15
60649,Childcare and Schools,43
60649,Dining,53
60649,F.I.R.E,56
60649,"Financial, Insurance, Real Estate, Legal, and Professional",1
60649,Fitness,5
60649,Health Services,32
60649,Industrial,2
60649,Non-residential religious,25
60649,Other,5
60649,Personal Service,72
60649,Public Services,5
60649,Religious (except school or residence),28
60649,Retail,113
60649,Service or Programmed Residential Space,29
60649,Social Services & Political Advocacy,13
60649,Trade Service,59
60649,"Wholesale, Storage and Transportation",4
60651,Arts and Entertainment,6
60651,Childcare and Schools,26
60651,Dining,39
60651,"Financial, Insurance, Real Estate, Legal, and Professional",10
60651,Fitness,2
60651,Health Services,10
60651,Industrial,16
60651,Other,1
60651,Personal Service,49
60651,Public Services,4
60651,Religious (except school or residence),57
60651,Retail,97
60651,Service or Programmed Residential Space,3
60651,Social Services & Political Advocacy,19
60651,Trade Service,66
60651,"Wholesale, Storage and Transportation",6
60652,F.I.R.E,1
60652,Industrial,2
60652,Public Services,2
60652,Retail,1
60652,Trade Service,1
60652,"Wholesale, Storage and Transportation",1
60653,Arts and Entertainment,12
60653,Childcare and Schools,33
60653,Dining,54
60653,"Financial, Insurance, Real Estate, Legal, and Professional",33
60653,Fitness,9
60653,Health Services,17
60653,Industrial,1
60653,Other,5
60653,Personal Service,62
60653,Public Services,13
60653,Religious (except school or residence),70
60653,Retail,55
60653,Service or Programmed Residential Space,21
60653,Social Services & Political Advocacy,25
60653,Trade Service,12
60653,"Wholesale, Storage and Transportation",2
60655,Dining,3
60655,"Financial, Insurance, Real Estate, Legal, and Professional",1
60655,Health Services,1
60655,Personal Service,2
60655,Retail,2
60661,Arts and Entertainment,1
60661,Dining,1
60661,Health Services,1
60661,Personal Service,1
60707,Arts and Entertainment,1
60707,Childcare and Schools,5
60707,Dining,18
60707,"Financial, Insurance, Real Estate, Legal, and Professional",16
60707,Fitness,1
60707,Health Services,14
60707,Industrial,4
60707,Personal Service,11
60707,Public Services,2
60707,Religious (except school or residence),3
60707,Retail,23
60707,Social Services & Political Advocacy,1
60707,Trade Service,12
60707,"Wholesale, Storage and Transportation",4
60804,Dining,1
60804,"Financial, Insurance, Real Estate, Legal, and Professional",1
60804,Health Services,1
60804,Retail,3
60804,Social Services & Political Advocacy,1
60827,Childcare and Schools,7
60827,Dining,1
